Part Number,Qty Ordered,UM_Multiplier
EX-SCR,352,1
EX-WW,88,1
EX-S14-CL,88,1
CABLE-BK,88,1
EX-CNT,176,1
RV-SEAL,176,1
EX-LSK-BK,88,1
ENCL12124,11,1
 ,1,1
AVXF-2700K,16324,1
AVXF-2700K,2660,1
MARK,0,1
FA,1,1
ECD-WH,7,1
ECD-WH,7,1
ECL-WH,7,1
AVXF-MC,200,1
AV-MS,21752,1
ECD-WH,147,1
ECL-WH,24,1
ECD-WH,24,1
ECD-WH,24,1
AV-MS,3792,1
AVXF-MC,1344,1
ECL-WH,3,1
ECD-WH,3,1
LOT,0,1
ECD-WH,3,1
 ,0,1
FA,1,1
AVXF-75,3936,1
ECD-WH,147,1
ECL-WH,147,1
AVXF-75,145,1
 ,0,1
LDR24-96W,22,1
ENCL12124,2,1
LDR24-96W,2,1
ENCL12124,63,1
LDR24-96W,126,1
ENCL12124,21,1
LDR24-96W,21,1
AVXF-75,173,1
AVXF-75,492,1
EX-MDA-BK,103,1
ECD-BK,7,1
T24-150,7,1
EX-OR-22,204.6,1
EX-WW,102.3,1
EX-LSK-BK,102.3,1
EX-SPH-CL,102.3,1
CABLE-BK,155,1
RV-SEAL,204.6,1
EX-SCR,409.2,1
EX-USK-BK,102.3,1
EX-CNT,204.6,1
MISC,60,1
MISC,1,1
MISC,1,1
MISC,5,3
EX-USK-BK,484.44,1
RV-SEAL,968.88,1
EX-MDA-BK,490,1
EX-UB-IW,484.44,1
EX-SCR,1937.76,1
EX-OR-22,968.88,1
EX-LSK-BK,484.44,1
EX-CNT,968.88,1
EX-S14-CL,484.44,1
CABLE-BK,734,1
ECD-BK,20,1
T24-300,6,1
EX-SCR,55.44,1
EX-USK-BK,13.86,1
RV-SEAL,27.72,1
EX-CNT,27.72,1
EX-OR-22,27.72,1
ECD-BK,1,1
EX-MS-BK,30,1
C2-40-24V,1,1
CABLE-BK,21,1
EX-G14-CL,13.86,1
EX-LSK-BK,13.86,1
LOT,0,1
 ,1,1
EX-WW,13.86,1
EX-TK,6,1
ECD-BK,4,1
ECD-BK,4,1
T24-150,2,1
 ,-1,1
EX-MDA-BK,68,1
LOT,0,1
CABLE-BK,443,1
EX-SPH-FR,221.5,1
EX-LSK-BK,221.5,1
EX-WW,221.5,1
RV-SEAL,443,1
EX-SCR,886,1
EX-OR-22,443,1
EX-USK-BK,221.5,1
EX-CNT,443,1
EX-MDA-BK,154,1
EX-WR,500,1
EX-TK,4,1
EX-OR-22,90,1
RV-SEAL,90,1
EX-SCR,180,1
EX-USK-BK,45,1
T24-150,1,1
CABLE-BK,90,1
ECD-BK,2,1
EX-MDA-BK,45,1
EX-S14-CL,45,1
EX-WH,45,1
EX-LSK-BK,45,1
EX-CNT,90,1
CABLE-BK,80,1
EX-LSK-BK,80,1
EX-OR-22,160,1
EX-S14-CL,80,1
EX-SCR,320,1
EX-CNT,160,1
RV-SEAL,160,1
EX-USK-BK,80,1
EX-VI-WW,80,1
EX-MDA-BK,80,1
EX-WR,100,1
EX-TK,8,1
T24-150,1,1
MARK,0,1
EX-TK,2,1
EX-SPH-FR,100,1
LOT,0,1
 ,1,1
EX-WW,100,1
RV-SEAL,200,1
EX-SCR,400,1
EX-OR-22,200,1
EX-USK-BK,100,1
EX-LSK-BK,100,1
EX-CNT,200,1
EX-MDA-BK,100,1
EX-WR,105,1
C2-96-24V,1,1
CABLE-BK,100,1
MTK-CONN,1,1
RS-GC,1,1
TLX-ED-BK,1,1
TLX-RC-BK,2,1
TLX-SPACER,0.5,1
TLX-TK-BK,0.107,1
EXC-EC,2,1
EXCH-B-SA,0.625,1
EXCH-C-SA,0.625,1
MDL-2700-B,1,1
MLC-5000-B,1,1
MLC-CH-B,0.042,1
MLC-CV-B,0.5,1
MLC-EC-SCR,1,1
MLC-EDL-B,0.5,1
MLC-LC-B,0.5,1
MLC-M,1,1
MLC-W,1,1
MS-LNS-24D,4,1
MSP-3000-B-30,1,1
MTK-4000-B,1,1
C2-24DC-RPG,1,1
T24-300,1,1
CABLE-BK,165,1
EX-CNT,165,1
EX-LSK-BK,82.5,1
EX-OR-22,165,1
EX-SCR,330,1
EX-SPH-FR,82.5,1
EX-UB-WW,82.5,1
RV-SEAL,165,1
EX-USK-BK,82.5,1
EX-CS2,83,1
EX-SH,83,1
EX-CS-P,83,1
EX-MDA-BK,83,1
ECD-BK,1,1
LOT,0,1
MARK,0,1
 ,1,1
EX-WR,170,1
EX-TK,2,1
LOT,0,1
LDR8-80,3,1
 ,1,1
T24/600-230,4,1
EX-WW,75,1
EX-UB-IW,190,1
RV-SEAL,380,1
EX-USK-BK,190,1
EX-MDA-BK,190,1
T24-300,1,1
 ,190,1
LOT,0,1
CABLE-BK,190,1
EX-CNT,380,1
EX-LSK-BK,190,1
EX-OR-22,380,1
EX-S14-CL,190,1
EX-SCR,760,1
C2-96-24V,11,1
ECD-WH,8,1
FA,1,1
 ,1,1
MARK,0,1
AVXF-60,182,1
LOT,0,1
AVXF-2400K,924.56,1
ECL-WH,11,1
ECD-WH,11,1
MTK-3000-B,8,1
